category_id,category_name
225,Podcasts
226,Poetry
227,Politics & Government
228,Pranks
229,Precision Sports
230,Pregnancy
231,Pro Wrestling
232,Professional Development
233,Public Health
234,Puzzles & Mysteries
235,Reaction Comedy
236,Real Estate
237,Recreational Vehicles
238,Religious Holidays
239,Restaurants & Eateries
240,Road Trips
241,Role-Playing Games
242,Romantic Relationships & Dating
243,Running
244,SAR (Search and Rescue)
245,Safety Cam Footage
246,Satires & Spoofs
247,Scenic Vistas
248,"Schools, Colleges & Universities"
249,Sci-Tech News
250,Science Experiments
251,Scripted Dramatic Content
252,Sculpture
253,Seasonal Trends
254,Secular Holidays
255,Shopping Guides
256,Short Films
257,Siblings & Other Family
258,Sight-Seeing
259,Singer & Dancer Stars
260,Sketches & Skits
261,Skills Building
262,Skincare
263,"Sleep, Meditation & Mindfulness"
264,Slime-Making
265,Small Apartments & Tiny Homes
266,Smart & Eco-Homes
267,Soap & Candle Making
268,Soccer / Football
269,Social & Friendship
270,Social Media Challenges
271,Social Science
272,Software & Apps
273,Song Parodies
274,Special Occasions
275,Spiritual & Religious
276,Sports Equipment
277,Sports News & Commentary
278,Stand Up & Roasting
279,Storytelling
280,Storytime
281,Street & Public Art
282,Street Interviews & Performers
283,Success Stories
284,TV Variety & Talk Shows
285,"Tattoos, Piercings & Body Art"
286,Teachers & Teaching
287,Tech Builds & Repairs
288,Teenagers
289,"Tennis, Pickleball & Racquetball"
290,Theater & Stage Plays
291,Theme Parks
292,Toys
293,Traditional & Cultural Sports
294,Traditional & Culture Dance
295,Traffic Reports & Updates
296,Trains
297,Travel Planning & Budgeting
298,Travel Tips & Suggestions
299,Traveling with Kids
300,Trick Shots
301,Trucks
302,Unboxing
303,Unexplained Phenomena
304,Urban & Hip Hop Dance
305,VR Gaming
306,Vegetarian & Vegan
307,Veterinarian
308,Videography
309,Vlogs
310,Water Sports
311,Watercraft
312,Weather & Natural Disasters
313,Web Series
314,Wedding Ceremonies & Guests
315,Wedding Essentials
316,Weight Management
317,Wild Animals
318,Wilderness Exploration
319,Winter Sports
320,Woodworking
321,Workouts & Training Regimens
322,Workplace Humor
323,Writers & Writing
324,Yoga & Pilates
325,eSports
